Turn,Depth,Player,Move,FEN,Score_Tot,Score_Mov,Score_Tablero,Score_regreso,Score_Is_Check,Score_Check_Mate,Score_Is_Attacking,Score_Is_Castling,Score_Is_Attacked,Score_Estoy_Jaque,Score_Late_Move,Score_Early_Move,Score_Evitar_Empate,Score_Buscar_Empate,Move_Ant,Pieza,Estoy_Jaque,List_Possible_Squares,List_Attacks,Hist_Turn
1,0,True,g1h3,rnbqkbnr/pppppppp/8/8/8/7N/PPPPPPPP/RNBQKB1R b KQkq - 1 1,-2.199146978999016,-3.0,0,0,0,0,0.75,0,-0.0,0,0,0,0,0,    ,N,False,"[6, 13, 29, 38]",[13],[Move.from_uci('g1h3')]
1,0,True,g1f3,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,3.2937677549450086,1.0,0,0,0,0,2.25,0,-0.0,0,0,0,0,0,    ,N,False,"[4, 6, 11, 15, 27, 31, 36, 38]","[4, 11, 15]",[Move.from_uci('g1f3')]
1,0,True,b1c3,rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b KQkq - 1 1,3.3293477315120747,1.0,0,0,0,0,2.25,0,-0.0,0,0,0,0,0,    ,N,False,"[1, 3, 8, 12, 24, 28, 33, 35]","[3, 8, 12]",[Move.from_uci('b1c3')]
1,0,True,b1a3,rnbqkbnr/pppppppp/8/8/8/N7/PPPPPPPP/R1BQKBNR b KQkq - 1 1,-2.2055753060616183,-3.0,0,0,0,0,0.75,0,-0.0,0,0,0,0,0,    ,N,False,"[1, 10, 26, 33]",[10],[Move.from_uci('b1a3')]
1,0,True,h2h3,rnbqkbnr/pppppppp/8/8/8/7P/PPPPPPP1/RNBQKBNR b KQkq - 0 1,3.0620910660855585,1.0,0,0,0,0,0.0,0,-0.0,0,0,2,0,0,    ,P,False,[30],[],[Move.from_uci('h2h3')]
1,0,True,g2g3,rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq - 0 1,3.0627367981108335,1.0,0,0,0,0,0.0,0,-0.0,0,0,2,0,0,    ,P,False,"[29, 31]",[],[Move.from_uci('g2g3')]
1,0,True,f2f3,rnbqkbnr/pppppppp/8/8/8/5P2/PPPPP1PP/RNBQKBNR b KQkq - 0 1,4.002950073945009,2.0,0,0,0,0,0.0,0,-0.0,0,0,2,0,0,    ,P,False,"[28, 30]",[],[Move.from_uci('f2f3')]
1,0,True,e2e3,rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq - 0 1,5.0577036917473945,3.0,0,0,0,0,0.0,0,-0.0,0,0,2,0,0,    ,P,False,"[27, 29]",[],[Move.from_uci('e2e3')]
1,0,True,d2d3,rnbqkbnr/pppppppp/8/8/8/3P4/PPP1PPPP/RNBQKBNR b KQkq - 0 1,5.05836100791089,3.0,0,0,0,0,0.0,0,-0.0,0,0,2,0,0,    ,P,False,"[26, 28]",[],[Move.from_uci('d2d3')]
1,0,True,c2c3,rnbqkbnr/pppppppp/8/8/8/2P5/PP1PPPPP/RNBQKBNR b KQkq - 0 1,4.024176381042415,2.0,0,0,0,0,0.0,0,-0.0,0,0,2,0,0,    ,P,False,"[25, 27]",[],[Move.from_uci('c2c3')]
1,0,True,b2b3,rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR b KQkq - 0 1,3.068472421557778,1.0,0,0,0,0,0.0,0,-0.0,0,0,2,0,0,    ,P,False,"[24, 26]",[],[Move.from_uci('b2b3')]
1,0,True,a2a3,rnbqkbnr/pppppppp/8/8/8/P7/1PPPPPPP/RNBQKBNR b KQkq - 0 1,3.071357355083689,1.0,0,0,0,0,0.0,0,-0.0,0,0,2,0,0,    ,P,False,[25],[],[Move.from_uci('a2a3')]
1,0,True,h2h4,rnbqkbnr/pppppppp/8/8/7P/8/PPPPPPP1/RNBQKBNR b KQkq - 0 1,2.5319677787288533,0.5,0,0,0,0,0.0,0,-0.0,0,0,2,0,0,    ,P,False,[38],[],[Move.from_uci('h2h4')]
